CR_TITLE,CR_URL,CR_MATERIAL_TYPE,CR_Media_Formats,CR_ABSTRACT,CR_LANGUAGE,CR_COU_TITLE,CR_PRIMARY_USER,CR_SUBJECT,CR_KEYWORDS,CR_AUTHOR_NAME,CR_PROVIDER,CR_PROVIDER_SET,CR_COU_URL,CR_COU_COPYRIGHT_HOLDER,CR_EDUCATIONAL_USE,CR_ACCESSIBILITY
Comparative Security and Sustainability,https://live-qa.ocw.mit.edu/courses/17-559-comparative-security-and-sustainability-fall-2004,Full Course,Text/HTML,"This course focuses on the complexities associated with security and sustainability of states in international relations. Covering aspects of theory, methods and empirical analysis, the course is in three parts, and each consists of seminar sessions focusing on specific topics.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Physical Science|Political Science|Atmospheric Science,Science|Earth Science|Social Science|Political Science|Comparative Politics|Sustainability|Security Studies|Public Administration|International Relations,"Choucri, Nazli",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Non-coding RNAs: Junk or Critical Regulators in Health and Disease?,https://live-qa.ocw.mit.edu/courses/7-345-non-coding-rnas-junk-or-critical-regulators-in-health-and-disease-spring-2012,Full Course,Text/HTML,"Every time we scientists think that we have dissected the precise biological nature of a process, an incidental finding, a brilliantly designed experiment, or an unexpected result can turn our world upside down. Until recently thought by many to be cellular ""junk"" because they do not encode proteins, non-coding RNAs are gaining a growing recognition for their roles in the regulation of a wide scope of processes, ranging from embryogenesis and development to cancer and degenerative disorders. The aim of this class is to introduce the diversity of the RNA world, inhabited by microRNAs, lincRNAs, piRNAs, and many others.
This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Biology|Physical Science|Genetics,Cell Biology|Science|Biology|Genetics|Molecular Biology,"Dimitrova, Nadya|Papagiannakopoulos, Thales",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Behavior of Algorithms,https://live-qa.ocw.mit.edu/courses/18-409-behavior-of-algorithms-spring-2002,Full Course,Text/HTML,"This course is a study of Behavior of Algorithms and covers an area of current interest in theoretical computer science. The topics vary from term to term. During this term, we discuss rigorous approaches to explaining the typical performance of algorithms with a focus on the following approaches: smoothed analysis, condition numbers/parametric analysis, and subclassing inputs.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Engineering|Computer Science,Computer Science|Theory of Computation|Computation|Engineering|Mathematics|Mathematical Analysis|Algorithms and Data Structures,"Spielman, Daniel",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Digital Anthropology,https://live-qa.ocw.mit.edu/courses/mas-966-digital-anthropology-spring-2003,Full Course,Text/HTML,"Digital Anthropology is a Spring 2003 applied social science and media arts seminar, surveying the blossoming arena of digital-artifact enabled experimental sociology/anthropology. We will emphasize on both (a) Technology Testbeds – systematically deploying research lab prototypes and corporate pre-production products in a sample human organizational population and carefully observing the social consequences, and (b) Sociometrics – using digital artifacts to better observe and measure the complex social reality of interesting human systems.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Graphic Design|Anthropology|Social Science|Graphic Arts,Social Science|Media Studies|Digital Media|Anthropology|Fine Arts,"Pentland, Alex",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Mechanisms of Drug Actions,https://live-qa.ocw.mit.edu/courses/20-201-mechanisms-of-drug-actions-fall-2013,Full Course,Text/HTML,"This course addresses the scientific basis for the development of new drugs. The first half of the semester begins with an overview of the drug discovery process, followed by fundamental principles of pharmacokinetics, pharmacodynamics, metabolism, and the mechanisms by which drugs cause therapeutic and toxic responses. The second half of the semester applies those principles to case studies and literature discussions of current problems with specific drugs, drug classes, and therapeutic targets.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,"Health, Medicine and Nursing|Biology|Physical Science|Engineering",Science|Biology|Health and Medicine|Biomedicine|Biological Engineering|Biochemistry|Engineering|Pharmacology and Toxicology,"Dedon, Peter|Knutson, Charles|Murcko, Mark|Tannenbaum, Steven",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment|Professional Development,Visual|Textual
"Stochastic Processes, Detection, and Estimation",https://live-qa.ocw.mit.edu/courses/6-432-stochastic-processes-detection-and-estimation-spring-2004,Full Course,Text/HTML,"This course examines the fundamentals of detection and estimation for signal processing, communications, and control. Topics covered include: vector spaces of random variables; Bayesian and Neyman-Pearson hypothesis testing; Bayesian and nonrandom parameter estimation; minimum-variance unbiased estimators and the Cramer-Rao bounds; representations for stochastic processes, shaping and whitening filters, and Karhunen-Loeve expansions; and detection and estimation from waveform observations. Advanced topics include: linear prediction and spectral estimation, and Wiener and Kalman filters.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Electronic Technology|Statistics and Probability|Mathematics|Engineering,Signal Processing|Electrical Engineering|Engineering|Probability and Statistics|Mathematics|Applied Mathematics,"Willsky, Alan|Wornell, Gregory",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Topics in Theoretical Computer Science : Internet Research Problems,https://live-qa.ocw.mit.edu/courses/18-996-topics-in-theoretical-computer-science-internet-research-problems-spring-2002,Full Course,Text/HTML,"We will discuss numerous research problems that are related to the internet. Sample topics include: routing algorithms such as BGP, communication protocols such as TCP, algorithms for intelligently selecting a resource in the face of uncertainty, bandwidth sensing tools, load balancing algorithms, streaming protocols, determining the structure of the internet, cost optimization, DNS-related problems, visualization, and large-scale data processing. The seminar is intended for students who are ready to work on challenging research problems. Each lecture will discuss:

methods used today
issues and problems
formulation of concrete problems
potential new lines of research

A modest amount of background information will be provided so that the importance and context of the problems can be understood. No previous study of the internet is required, but experience with algorithms and/or theoretical computer science at the graduate/research level is needed.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Electronic Technology|Engineering|Computer Science,Computer Science|Telecommunications|Computer Networks|Theory of Computation|Electrical Engineering|Engineering|Algorithms and Data Structures,"Leighton, Tom|Maggs, Bruce|Sundaram, Ravi|Teng, Shang-Hua",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Advanced German: Professional Communication,https://live-qa.ocw.mit.edu/courses/21g-410-advanced-german-professional-communication-spring-2017,Full Course,Text/HTML,"This course exposes students to current issues and language use in German technology, business, and international industrial relations, and discusses ramifications of these issues in a larger social and cultural context. We seek to prepare students who wish to work or study in a German-speaking country by focusing on specialized vocabulary and systematic training in speaking and writing skills to improve fluency and style and emphasizing communicative strategies that are crucial in a working environment. Discussion and analysis of newspaper and magazine articles, modern expository prose, and extensive use of online material are included. Taught in German.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Economics|Arts and Humanities|Languages,Social Science|Humanities|International Development|German|Economics|Language,"Weise, Peter",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment|Professional Development,Visual|Textual
Introduction to International Development Planning,https://live-qa.ocw.mit.edu/courses/11-701-introduction-to-international-development-planning-fall-2011,Full Course,Text/HTML,"This introductory survey course is intended to develop an understanding of key issues and dilemmas of planning in non-Western countries. The issues covered by the course include state intervention, governance, law and institutions in development, privatization, participatory planning, decentralization, poverty, urban-rural linkages, corruption and civil service reform, trade and outsourcing and labor standards, post-conflict development and the role of aid in development.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Political Science|Social Science|Economics|Cultural Geography,Urban Studies|Regional Planning|Social Science|International Development|The Developing World|Developmental Economics|Society|Regional Politics|Economics|Global Poverty|Public Administration,"Rajagopal, Balakrishnan",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Physics of Solids I,https://live-qa.ocw.mit.edu/courses/8-231-physics-of-solids-i-fall-2006,Full Course,Text/HTML,This course offers an introduction to the basic concepts of the quantum theory of solids.,en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Physical Science|Physics,Science|Physics|Condensed Matter Physics,"Wen, Xiao-Gang",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Principles of Autonomy and Decision Making,https://live-qa.ocw.mit.edu/courses/16-410-principles-of-autonomy-and-decision-making-fall-2010,Full Course,Text/HTML,"This course surveys a variety of reasoning, optimization and decision making methodologies for creating highly autonomous systems and decision support aids. The focus is on principles, algorithms, and their application, taken from the disciplines of artificial intelligence and operations research.
Reasoning paradigms include logic and deduction, heuristic and constraint-based search, model-based reasoning, planning and execution, and machine learning. Optimization paradigms include linear programming, integer programming, and dynamic programming. Decision-making paradigms include decision theoretic planning, and Markov decision processes.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Engineering|Life Science|Information Science|Computer Science|Social Science|Physical Science,Systems Engineering|Science|Social Science|Computer Science|Artificial Intelligence|Cognitive Science|Engineering|Systems Optimization|Algorithms and Data Structures|Game Theory,"Frazzoli, Emilio|Williams, Brian",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Medieval Literature: Medieval Women Writers,https://live-qa.ocw.mit.edu/courses/21l-460-medieval-literature-medieval-women-writers-spring-2004,Full Course,Text/HTML,"This survey provides a general introduction to medieval European literature (from Late Antiquity to the Fifteenth Century) from the perspective of women writers from a variety of cultures, social backgrounds, and historical timeperiods. Though much of the class will be devoted to exploring the evolution of a new literary tradition by and for women from its earliest emergence in the West, wider historical and cultural movements will also be addressed: the Fall of the Roman Empire, the growth of religious communities, the shift from orality to literacy, the culture of chivalry and courtly love, the emergence of scholasticism and universities, changes in devotional practices, the persecution of heretics, the rise of nationalism and class consciousness. Authors will include some of the most famous women of the period: Hildegard of Bingen, Heloise of Paris, Marie de France, Christine de Pizan, Joan of Arc, Margery Kempe, along with many interesting and intriguing though lesser known figures.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Ancient History|History|Social Science|Reading Literature,International Literature|Humanities|Literature|Society|Women's Studies|History|Criticism|Medieval History,"Cain, James",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Molecular Biology for the Auditory System,https://live-qa.ocw.mit.edu/courses/hst-730-molecular-biology-for-the-auditory-system-fall-2002,Full Course,Text/HTML,"An introductory course in the molecular biology of the auditory system. First half focuses on human genetics and molecular biology, covering fundamentals of pedigree analysis, linkage analysis, molecular cloning, and gene analysis as well as ethical/legal issues, all in the context of an auditory disorder. Second half emphasizes molecular approaches to function and dysfunction of the cochlea, and is based on readings and discussion of research literature.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,"Health, Medicine and Nursing|Biology|Physical Science|Genetics",Microbiology|Science|Biology|Health and Medicine|Genetics|Molecular Biology|Sensory-Neural Systems,"Cotanche, Doug|Giersch, Anne|Heller, Stefan|Kenna, Marley|Liberman, Charlie|Rehm, Heidi|Sewell, Bill|Zheng-Yi, Chen",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Entrepreneurial Finance,https://live-qa.ocw.mit.edu/courses/15-431-entrepreneurial-finance-spring-2011,Full Course,Text/HTML,"15.431 Entrepreneurial Finance examines the elements of entrepreneurial finance, focusing on technology-based start-up ventures and the early stages of company development. The course addresses key questions which challenge all entrepreneurs: how much money can and should be raised; when should it be raised and from whom; what is a reasonable valuation of the company; and how should funding, employment contracts and exit decisions be structured. It aims to prepare students for these decisions, both as entrepreneurs and venture capitalists. In addition, the course includes an in-depth analysis of the structure of the private equity industry.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Business and Communication|Social Science|Finance|Economics,Social Science|Finance|Business|Entrepreneurship|Economics|Financial Economics,"Schoar, Antoinette",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Mathematical Methods for Engineers II,https://live-qa.ocw.mit.edu/courses/18-086-mathematical-methods-for-engineers-ii-spring-2006,Full Course,Text/HTML,This graduate-level course is a continuation of Mathematical Methods for Engineers I (18.085). Topics include numerical methods; initial-value problems; network flows; and optimization.,en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Engineering|Algebra|Computer Science,Systems Engineering|Computational Science and Engineering|Linear Algebra|Differential Equations|Engineering|Mathematics|Applied Mathematics,"Strang, Gilbert",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual|Auditory|Caption|Transcript
Architecture and Communication in Organizations,https://live-qa.ocw.mit.edu/courses/15-990-architecture-and-communication-in-organizations-fall-2003,Full Course,Text/HTML,"While no businesses succeed based on their architecture or space design, many fail as a result of inattention to the power of spatial relationships. This course demonstrates through live case studies with managers and architects the value of strategic space planning and decision making in relation to business needs. The course presents conceptual frameworks for thinking about architecture, communication and organizations.
This course is offered during the Sloan Innovation Period (SIP), which is a one-week period at the MIT Sloan School of Management that occurs midway through each semester.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Management|Architecture and Design|Business and Communication|Social Science|Communication,Organizational Behavior|Social Science|Environmental Design|Business|Architecture|Communication|Management|Fine Arts,"Allen, Tom|Burton, Diane|Duffy, Frank",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Organic Chemistry I,https://live-qa.ocw.mit.edu/courses/5-12-organic-chemistry-i-spring-2005,Full Course,Text/HTML,This subject deals primarily with the basic principles to understand the structure and reactivity of organic molecules. Emphasis is on substitution and elimination reactions and chemistry of the carbonyl group. The course also provides an introduction to the chemistry of aromatic compounds.,en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Physical Science|Chemistry,Chemistry|Science|Organic Chemistry,"Berkowski, Kimberly|O’Connor, Sarah",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
The Law of Corporate Finance and Financial Markets,https://live-qa.ocw.mit.edu/courses/15-617-the-law-of-corporate-finance-and-financial-markets-spring-2004,Full Course,Text/HTML,"Much of 15.617 focuses on mergers and acquisitions (M&A), and the law-sensitive aspects of financial services and financial markets. The course is designed to be an introduction to business law that covers the fundamentals, including contracts, liability, regulation, employment, and corporations. This class also provides an in-depth treatment of the law of finance.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Economics|Law|Business and Communication|Social Science|Finance,Finance|Social Science|Business|Economics|Legal Studies|Financial Economics,"Akula, John",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Planning for Sustainable Development,https://live-qa.ocw.mit.edu/courses/11-366j-planning-for-sustainable-development-spring-2006,Full Course,Text/HTML,"This course explores policy and planning for sustainable development. It critically examines concept of sustainability as a process of social, organizational, and political development drawing on cases from the U.S. and Europe. It also explores pathways to sustainability through debates on ecological modernization; sustainable technology development, international and intergenerational fairness, and democratic governance.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering|Environmental Science|Atmospheric Science|Social Science|Physical Science,Environmental Management|Urban Studies|Science|Earth Science|Social Science|Urban Planning|Sustainability|Engineering|Environmental Engineering,"Laws, David|Rein, Martin",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Emotions and Politics,https://live-qa.ocw.mit.edu/courses/17-s950-emotions-and-politics-fall-2018,Full Course,Text/HTML,"This course is premised on the belief that emotions are a fundamental part of human nature. Accordingly, understanding emotions and incorporating emotions into our research can help us better explain variation in important political phenomena. Research on emotions and how emotions can influence decision-making has dramatically increased over the past two decades. This class aims to pick up on new findings from psychology and other disciplines and marshal this knowledge toward the most important issues of political science.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Psychology|Political Science,Political Science|Psychology|Social Science,"Petersen, Roger",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
System Design and Analysis based on AD and Complexity Theories,https://live-qa.ocw.mit.edu/courses/2-882-system-design-and-analysis-based-on-ad-and-complexity-theories-spring-2005,Full Course,Text/HTML,"This course studies what makes a good design and how one develops a good design. Students consider how the design of engineered systems (such as hardware, software, materials, and manufacturing systems) differ from the ""design"" of natural systems such as biological systems; discuss complexity and how one makes use of complexity theory to improve design; and discover how one uses axiomatic design theory (AD theory) in design of many different kinds of engineered systems. Questions are analyzed using Axiomatic Design Theory and Complexity Theory. Case studies are presented including the design of machines, tribological systems, materials, manufacturing systems, and recent inventions. Implications of AD and complexity theories on biological systems discussed.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering|Computer Science,Systems Engineering|Computer Science|Theory of Computation|Nanotechnology|Engineering|Systems Design,"Lee, Taesik|Suh, Nam",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Poverty and Economic Security,https://live-qa.ocw.mit.edu/courses/11-006-poverty-and-economic-security-fall-2016,Full Course,Text/HTML,"This course explores the evolution of poverty and economic security in the United States, within a global context. It examines the impact of recent economic restructuring and globalization, and reviews the current debate about the fate of the middle class, sources of increasing inequality, and approaches to advancing economic opportunity and security. In this class, students will study the topic of poverty and economic security through the lens of the lived experience of Americans: individuals, families, and households; exploring the history, geography, and forces shaping the likelihood of being poor in America.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Sociology|Cultural Geography,Urban Studies|Social Science|Society|Global Poverty|Social Justice|Sociology,"Glasmeier, Amy",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Statistical Physics II,https://live-qa.ocw.mit.edu/courses/8-08-statistical-physics-ii-spring-2005,Full Course,Text/HTML,"This course covers probability distributions for classical and quantum systems. Topics include: Microcanonical, canonical, and grand canonical partition-functions and associated thermodynamic potentials. Also discussed are conditions of thermodynamic equilibrium for homogenous and heterogenous systems.
The course follows 8.044, Statistical Physics I, and is second in this series of undergraduate Statistical Physics courses.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Physical Science|Statistics and Probability|Physics,Science|Physics|Quantum Mechanics|Probability and Statistics|Classical Mechanics|Mathematics,"Wen, Xiao-Gang",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
The Art of Approximation in Science and Engineering,https://live-qa.ocw.mit.edu/courses/6-055j-the-art-of-approximation-in-science-and-engineering-spring-2008,Full Course,Text/HTML,"This course teaches simple reasoning techniques for complex phenomena: divide and conquer, dimensional analysis, extreme cases, continuity, scaling, successive approximation, balancing, cheap calculus, and symmetry. Applications are drawn from the physical and biological sciences, mathematics, and engineering. Examples include bird and machine flight, neuron biophysics, weather, prime numbers, and animal locomotion. Emphasis is on low-cost experiments to test ideas and on fostering curiosity about phenomena in the world.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Engineering|Computer Science,Computer Science|Engineering|Applied Mathematics|Mathematics|Algorithms and Data Structures,"Mahajan, Sanjoy",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Advanced Geotechnical Engineering,https://live-qa.ocw.mit.edu/courses/1-364-advanced-geotechnical-engineering-fall-2003,Full Course,Text/HTML,"1.364 examines site characterization and geotechnical aspects of the design and construction of foundation systems. Topics include: site investigation (with emphasis on in situ testing), shallow (footings and raftings) and deep (piles and caissons) foundations, excavation support systems, groundwater control, slope stability, soil improvement (compaction, soil reinforcement, etc.), and construction monitoring. This course is a core requirement for the Geotechnical Master of Engineering program at MIT.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering,Geotechnical Engineering|Structural Engineering|Engineering|Civil Engineering,"Whittle, Andrew",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Industrial Design Intelligence: A Cognitive Approach to Engineering,https://live-qa.ocw.mit.edu/courses/mas-742-industrial-design-intelligence-a-cognitive-approach-to-engineering-fall-2003,Full Course,Text/HTML,"This class investigates cognitive science and technology as it is applied to the industrial design process. The class introduces prototyping techniques and approaches for objective evaluation as part of the design process. Students practice evaluating products with mechanical and electronic aspects. Evaluation processes are applied to creating functioning smart product prototypes. This is a project oriented subject that draws upon engineering, aesthetic, and creative skills. It is geared toward students interested in creating physical products which encompass electronics and computers, aimed at including them in smart scenarios. Students in the class will present readings, learn prototyping skills, create a product prototype, and complete a publication style paper.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Electronic Technology|Physical Science|Life Science|Engineering,Science|Cognitive Science|Electronics|Electrical Engineering|Engineering|Mechanical Design|Mechanical Engineering,"Selker, Ted",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Logistical and Transportation Planning Methods,https://live-qa.ocw.mit.edu/courses/1-203j-logistical-and-transportation-planning-methods-fall-2006,Full Course,Text/HTML,"The class will cover quantitative techniques of Operations Research with emphasis on applications in transportation systems analysis (urban, air, ocean, highway, pick-up and delivery systems) and in the planning and design of logistically oriented urban service systems (e.g., fire and police departments, emergency medical services, emergency repair services). It presents a unified study of functions of random variables, geometrical probability, multi-server queueing theory, spatial location theory, network analysis and graph theory, and relevant methods of simulation. There will be discussion focused on the difficulty of implementation, among other topics.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Statistics and Probability|Mathematics|Engineering,Systems Engineering|Transportation Planning|Urban Studies|Social Science|Urban Planning|Engineering|Systems Optimization|Probability and Statistics|Mathematics,"Barnett, Arnold|Larson, Richard|Odoni, Amedeo",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Reading Fiction: Dysfunctional Families,https://live-qa.ocw.mit.edu/courses/21l-003-1-reading-fiction-dysfunctional-families-spring-2007,Full Course,Text/HTML,"This course explores the form, content, and historical context of various works of fiction specifically through the thematic lens of ""dysfunctional families."" We will focus primarily on questions pertaining to the structure, language, story, and characters of these fictional works.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Reading Literature,Fiction|Literature|Criticism|Humanities,"Alexandre, Sandy",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
The Rise and Fall of Democracy/ Regime Change,https://live-qa.ocw.mit.edu/courses/17-508-the-rise-and-fall-of-democracy-regime-change-spring-2002,Full Course,Text/HTML,"Coups, civil wars, revolutions, and peaceful transitions are the ""real stuff"" of political science. They show us why politics matters, and they highlight the consequences of political choices in times of institutional crisis. This course will help you understand why democracies emerge and why they die, from ancient times to the recent wave of democratization in Southern Europe, Eastern Europe, and the developing world.
Few things are more dramatic than the collapse of a political system, whether through violent conflict or the peaceful negotiation of new political institutions. Explaining why regimes break down, why new ones emerge, and how these new regimes are consolidated are among the most important questions in political science. Not surprisingly, regime change has obsessed scholars for centuries, from Aristotle to Machiavelli to Marx to current theorists of democratization.
You will review several broad explanations for regime change before turning to more detailed examination of some of history's most famous and theoretically interesting political transitions: the collapse of the Weimar Republic in Germany; democratic breakdown, the consolidation of military dictatorship, and re-democratization in Chile; the breakdown of British colonial rule in the Massachussets Bay Colony; and protracted political transition in Mexico. There will be shorter discussions of democratization in Spain, South Africa, and South Korea; as well as democratic collapse in Brazil, Austria, and Italy.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|History|Social Science|World History|Political Science,Social Science|Humanities|Political Science|Comparative History|History|Comparative Politics|World History|International Relations,"Lawson, Chappell",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Mechanical Assembly and Its Role in Product Development,https://live-qa.ocw.mit.edu/courses/2-875-mechanical-assembly-and-its-role-in-product-development-fall-2004,Full Course,Text/HTML,"The course presents a systematic approach to design and assembly of mechanical assemblies, which should be of interest to engineering professionals, as well as post-baccalaureate students of mechanical, manufacturing and industrial engineering. It introduces mechanical and economic models of assemblies and assembly automation at two levels. ""Assembly in the small"" includes basic engineering models of part mating, and an explanation of the Remote Center Compliance. ""Assembly in the large"" takes a system view of assembly, including the notion of product architecture, feature-based design, and computer models of assemblies, analysis of mechanical constraint, assembly sequence analysis, tolerances, system-level design for assembly and JIT methods, and economics of assembly automation. Class exercises and homework include analyses of real assemblies, the mechanics of part mating, and a semester long project. Case studies and current research are included.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Business and Communication|Management|Engineering,Systems Engineering|Business|Engineering|Operations Management|Mechanical Engineering,"Whitney, Daniel",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Computational Methods in Aerospace Engineering,https://live-qa.ocw.mit.edu/courses/16-90-computational-methods-in-aerospace-engineering-spring-2014,Full Course,Text/HTML,"This course provides an introduction to numerical methods and computational techniques arising in aerospace engineering. Applications are drawn from aerospace structures, aerodynamics, dynamics and control, and aerospace systems. Techniques covered include numerical integration of systems of ordinary differential equations; numerical discretization of partial differential equations; and probabilistic methods for quantifying the impact of variability. Specific emphasis is given to finite volume methods in fluid mechanics, and finite element methods in structural mechanics.
Acknowledgement: Prof. David Darmofal taught this course in prior years, and created some of the materials found in this OCW site.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Statistics and Probability|Mathematics|Engineering|Computer Science,Systems Engineering|Computational Science and Engineering|Differential Equations|Systems Optimization|Engineering|Aerospace Engineering|Probability and Statistics|Mathematics,"Wang, Qiqi|Willcox, Karen",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual|Auditory|Caption|Transcript
Writing about Nature and Environmental Issues,https://live-qa.ocw.mit.edu/courses/21w-775-writing-about-nature-and-environmental-issues-fall-2006,Full Course,Text/HTML,This course focuses on traditional nature writing and the environmentalist essay. Students will keep a Web log as a journal. Writings are drawn from the tradition of nature writing and from contemporary forms of the environmentalist essay.,en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Composition and Rehtoric|Literature,Humanities|Nonfiction Prose|Literature|Criticism|Creative Writing,"Lioi, Anthony",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
